iter	MultiClass
0	1.91372568
1	1.762640015
2	1.701213539
3	1.631142156
4	1.577861867
5	1.545842809
6	1.533494772
7	1.531204221
8	1.511812624
9	1.505729627
10	1.49470488
11	1.482030049
12	1.473009355
13	1.468404963
14	1.460385788
15	1.451424632
16	1.443117696
17	1.435305202
18	1.422224823
19	1.418212268
20	1.411209658
21	1.404518192
22	1.397460437
23	1.386758344
24	1.376442115
25	1.368760495
26	1.362573595
27	1.357393805
28	1.347692962
29	1.343237281
30	1.33714923
31	1.329731811
32	1.323626141
33	1.317900781
34	1.312762024
35	1.308144155
36	1.305268705
37	1.30218619
38	1.297283343
39	1.29274762
40	1.289453682
41	1.286225555
42	1.278254652
43	1.273894393
44	1.270103414
45	1.265398189
46	1.264145269
47	1.261709411
48	1.258927369
49	1.255360213
50	1.251135311
51	1.249464618
52	1.245676442
53	1.241523593
54	1.238034351
55	1.235729906
56	1.233345962
57	1.228564457
58	1.223593747
59	1.219471192
60	1.216694265
61	1.213030961
62	1.21182152
63	1.208422109
64	1.207125496
65	1.206133803
66	1.203089418
67	1.201027964
68	1.198558159
69	1.193092926
70	1.188451223
71	1.185992032
72	1.182853394
73	1.181922716
74	1.179515152
75	1.176255457
76	1.172173558
77	1.168792415
78	1.165458056
79	1.164642497
80	1.160823039
81	1.159396998
82	1.156117054
83	1.152720831
84	1.14965904
85	1.147381998
86	1.141701187
87	1.140563382
88	1.137330035
89	1.136279012
90	1.134725284
91	1.13106614
92	1.126452929
93	1.124566115
94	1.123035682
95	1.121147487
96	1.118920991
97	1.116312342
98	1.113487005
99	1.111925832
