iter	Passed	Remaining
0	32	3199
1	92	4538
2	124	4025
3	152	3658
4	181	3453
5	213	3350
6	227	3026
7	250	2885
8	287	2902
9	316	2851
10	349	2824
11	378	2775
12	407	2729
13	439	2698
14	468	2653
15	503	2640
16	547	2675
17	611	2787
18	652	2780
19	691	2766
20	739	2782
21	775	2749
22	806	2699
23	838	2655
24	869	2608
25	900	2563
26	933	2524
27	965	2482
28	996	2439
29	1031	2407
30	1062	2364
31	1092	2321
32	1123	2280
33	1158	2249
34	1189	2208
35	1221	2170
36	1248	2125
37	1276	2082
38	1307	2045
39	1341	2012
40	1372	1975
41	1403	1937
42	1430	1895
43	1459	1857
44	1493	1825
45	1525	1790
46	1556	1755
47	1588	1720
48	1619	1685
49	1646	1646
50	1681	1615
51	1709	1578
52	1739	1542
53	1771	1509
54	1801	1474
55	1833	1440
56	1861	1404
57	1895	1372
58	1922	1336
59	1952	1301
60	1985	1269
61	2015	1235
62	2051	1204
63	2084	1172
64	2119	1141
65	2150	1108
66	2182	1074
67	2212	1041
68	2244	1008
69	2277	976
70	2308	942
71	2340	910
72	2368	876
73	2400	843
74	2433	811
75	2465	778
76	2494	745
77	2528	713
78	2560	680
79	2595	648
80	2631	617
81	2663	584
82	2697	552
83	2732	520
84	2762	487
85	2792	454
86	2822	421
87	2851	388
88	2881	356
89	2912	323
90	2943	291
91	2974	258
92	3002	225
93	3034	193
94	3063	161
95	3091	128
96	3125	96
97	3160	64
98	3192	32
99	3223	0
