iter	MultiClass
0	2.224093564
1	2.166213909
2	2.118457298
3	2.073192544
4	2.032153829
5	1.998800119
6	1.966045201
7	1.941542445
8	1.916323473
9	1.89294785
10	1.871492307
11	1.850047741
12	1.829588708
13	1.813410479
14	1.796030686
15	1.779711633
16	1.765621885
17	1.750714268
18	1.739512092
19	1.727748522
20	1.722673139
21	1.710023166
22	1.70203079
23	1.692143549
24	1.6839383
25	1.676982284
26	1.667579119
27	1.660201759
28	1.653299153
29	1.647069572
30	1.640708521
31	1.635190843
32	1.629825223
33	1.624185337
34	1.619182301
35	1.613123231
36	1.608287655
37	1.602697677
38	1.598643779
39	1.593984592
40	1.589298184
41	1.584157406
42	1.579678045
43	1.575780476
44	1.572235987
45	1.568564614
46	1.565033461
47	1.562287713
48	1.560124133
49	1.559613167
50	1.557083269
51	1.553404636
52	1.549908113
53	1.54699242
54	1.543396346
55	1.541890398
56	1.538691941
57	1.536024121
58	1.532953608
59	1.530977278
60	1.528524588
61	1.524692264
62	1.521824561
63	1.521372184
64	1.520206276
65	1.51905459
66	1.516539968
67	1.516097935
68	1.512724854
69	1.511902293
70	1.51008313
71	1.50829239
72	1.506417261
73	1.505232358
74	1.503212376
75	1.50122794
76	1.4998186
77	1.498693064
78	1.49738047
79	1.496017212
80	1.493367187
81	1.491981303
82	1.491109597
83	1.490260247
84	1.488976015
85	1.487694884
86	1.486265772
87	1.484565712
88	1.483253559
89	1.481690754
90	1.481321386
91	1.480771003
92	1.480146474
93	1.47923066
94	1.478120449
95	1.477335512
96	1.476402268
97	1.4758435
98	1.475026214
99	1.474018861
100	1.472613026
101	1.472074154
102	1.471248293
103	1.470677453
104	1.469316251
105	1.469137575
106	1.468306936
107	1.467377598
108	1.465985828
109	1.465079917
110	1.463723678
111	1.46297866
112	1.462313179
113	1.461350187
114	1.461189129
115	1.460389037
116	1.460025391
117	1.459181947
118	1.458543249
119	1.457996899
120	1.457849874
121	1.457318858
122	1.45672805
123	1.456153351
124	1.455101415
125	1.45404965
126	1.453832621
127	1.45296079
128	1.452387175
129	1.452202042
130	1.451699288
131	1.45102797
132	1.449638137
133	1.449066723
134	1.448429814
135	1.447885934
136	1.447436533
137	1.447043391
138	1.446808377
139	1.445882911
140	1.445298103
141	1.444304225
142	1.443473303
143	1.442739326
144	1.441477666
145	1.440907577
146	1.440316365
147	1.439213466
148	1.438366902
149	1.438007242
150	1.436614602
151	1.435395666
152	1.434909255
153	1.434028463
154	1.432818915
155	1.431628941
156	1.431305554
157	1.431101722
158	1.43031125
159	1.429574179
160	1.42905435
161	1.428363792
162	1.427369644
163	1.426238899
164	1.425863858
165	1.424634685
166	1.423463082
167	1.422918602
168	1.422280544
169	1.42080187
170	1.42000109
171	1.419018315
172	1.417986435
173	1.417191003
174	1.415713407
175	1.414970092
176	1.413867752
177	1.413300123
178	1.412541936
179	1.411718425
180	1.410551837
181	1.410123424
182	1.408991564
183	1.407974232
184	1.407118662
185	1.40586488
186	1.404882108
187	1.404051133
188	1.402809968
189	1.401700035
190	1.400741242
191	1.399990495
192	1.399542111
193	1.398879059
194	1.397540625
195	1.396923806
196	1.396276414
197	1.395460039
198	1.394762436
199	1.393924131
200	1.393480263
201	1.392766161
202	1.391654268
203	1.391160723
204	1.389937374
205	1.389201642
206	1.389157611
207	1.388332911
208	1.387581105
209	1.386840486
210	1.38614145
211	1.385641382
212	1.385070726
213	1.384522639
214	1.383662543
215	1.38291407
216	1.382392309
217	1.381628929
218	1.380787703
219	1.380190815
220	1.379474373
221	1.378800103
222	1.378051179
223	1.377573817
224	1.376739912
225	1.376022033
226	1.375114368
227	1.37448433
228	1.373878309
229	1.373162226
230	1.372354688
231	1.37210296
232	1.37161066
233	1.371180816
234	1.370555573
235	1.369771515
236	1.369279163
237	1.368869803
238	1.368040723
239	1.367394201
240	1.366746192
241	1.366141292
242	1.365535137
243	1.364795754
244	1.36402054
245	1.363311282
246	1.362627177
247	1.361845688
248	1.361351928
249	1.360416968
250	1.359821257
251	1.359463279
252	1.358854471
253	1.358447245
254	1.357849825
255	1.357257692
256	1.356737989
257	1.35627625
258	1.355742493
259	1.355588117
260	1.355234686
261	1.354576495
262	1.354167807
263	1.353666005
264	1.353073494
265	1.352805798
266	1.352119498
267	1.351807195
268	1.351107787
269	1.350712959
270	1.350524475
271	1.350124133
272	1.34973092
273	1.349554874
274	1.348834232
275	1.348273086
276	1.347646267
277	1.346839707
278	1.346399071
279	1.345885173
280	1.34541077
281	1.345304258
282	1.345037459
283	1.344517601
284	1.343956007
285	1.343859989
286	1.34351751
287	1.343359286
288	1.342986335
289	1.342754559
290	1.342286048
291	1.342096293
292	1.341523219
293	1.341218519
294	1.340305912
295	1.339930924
296	1.339439501
297	1.339267399
298	1.339143608
299	1.338531875
300	1.338006574
301	1.33775688
302	1.337480897
303	1.336850705
304	1.336620423
305	1.336090668
306	1.33576577
307	1.335428633
308	1.33537185
309	1.334923791
310	1.334620876
311	1.334297057
312	1.334111175
313	1.333660994
314	1.33332199
315	1.333027209
316	1.332791802
317	1.332256749
318	1.331848729
319	1.331530664
320	1.331225917
321	1.33122139
322	1.331061661
323	1.330803154
324	1.330419507
325	1.3302157
326	1.329873886
327	1.329581787
328	1.329142608
329	1.328733906
330	1.328586117
331	1.32812383
332	1.327601233
333	1.327304821
334	1.327228411
335	1.326814017
336	1.326058932
337	1.3256537
338	1.325155823
339	1.324645203
340	1.32405642
341	1.32350882
342	1.323160498
343	1.322674013
344	1.322309357
345	1.321936693
346	1.321468158
347	1.321186764
348	1.320797947
349	1.320327816
350	1.319999465
351	1.319745152
352	1.319716768
353	1.319201677
354	1.318833452
355	1.318595278
356	1.318139777
357	1.317519658
358	1.317156546
359	1.316968275
360	1.316471429
361	1.316347621
362	1.316093594
363	1.316012818
364	1.315367768
365	1.314863747
366	1.314403101
367	1.313826957
368	1.31324936
369	1.31303212
370	1.31245347
371	1.311937336
372	1.311413244
373	1.310937382
374	1.310513428
375	1.310133902
376	1.309995587
377	1.309933215
378	1.309657693
379	1.309507117
380	1.309148212
381	1.308803414
382	1.30868226
383	1.308358264
384	1.308061058
385	1.307699372
386	1.3072196
387	1.306830258
388	1.306547243
389	1.306197064
390	1.305751483
391	1.305260418
392	1.304946859
393	1.304782895
394	1.304262912
395	1.303837832
396	1.303662363
397	1.303647261
398	1.303372109
399	1.303117732
400	1.302831392
401	1.302642115
402	1.302236878
403	1.301865142
404	1.301658606
405	1.301639814
406	1.301498338
407	1.301312596
408	1.300980688
409	1.300313692
410	1.300128325
411	1.29970165
412	1.299393795
413	1.298893543
414	1.298361964
415	1.298117519
416	1.297862721
417	1.297575639
418	1.297462097
419	1.297141485
420	1.296778393
421	1.296507844
422	1.296080405
423	1.29567679
424	1.295404131
425	1.295366908
426	1.295127162
427	1.294917006
428	1.294815216
429	1.294728421
430	1.294363718
431	1.294337105
432	1.293708102
433	1.293348669
434	1.292963169
435	1.29249549
436	1.292318809
437	1.291700304
438	1.291464206
439	1.291033643
440	1.290481378
441	1.289910617
