iter	Passed	Remaining
0	68	47615
1	120	42004
2	167	38943
3	216	37655
4	271	37726
5	318	36830
6	366	36249
7	425	36792
8	480	36909
9	527	36413
10	587	36808
11	639	36650
12	685	36233
13	737	36156
14	787	35973
15	833	35629
16	882	35455
17	930	35241
18	977	35033
19	1023	34783
20	1052	34026
21	1095	33761
22	1154	33985
23	1202	33867
24	1247	33686
25	1301	33731
26	1350	33674
27	1403	33678
28	1460	33797
29	1508	33689
30	1558	33628
31	1608	33571
32	1661	33588
33	1714	33583
34	1758	33405
35	1802	33246
36	1849	33135
37	1893	32987
38	1945	32971
39	1991	32853
40	2054	33014
41	2095	32822
42	2154	32923
43	2216	33053
44	2270	33041
45	2329	33113
46	2377	33037
47	2429	33006
48	2486	33040
49	2507	32600
50	2553	32499
51	2612	32557
52	2667	32557
53	2724	32588
54	2769	32483
55	2834	32601
56	2890	32608
57	2936	32506
58	2992	32508
59	3051	32548
60	3094	32418
61	3137	32284
62	3192	32275
63	3212	31919
64	3282	32062
65	3340	32091
66	3386	31992
67	3418	31772
68	3473	31764
69	3544	31900
70	3609	31980
71	3663	31954
72	3708	31848
73	3768	31881
74	3818	31820
75	3863	31718
76	3908	31626
77	3963	31604
78	4020	31603
79	4084	31654
80	4129	31557
81	4177	31483
82	4225	31407
83	4288	31448
84	4356	31517
85	4417	31539
86	4464	31455
87	4520	31438
88	4585	31478
89	4636	31422
90	4704	31482
91	4780	31594
92	4835	31560
93	4890	31525
94	4946	31502
95	5009	31515
96	5068	31505
97	5097	31312
98	5155	31294
99	5210	31265
100	5261	31205
101	5335	31278
102	5398	31288
103	5463	31309
104	5514	31250
105	5535	31021
106	5599	31031
107	5660	31025
108	5711	30969
109	5763	30910
110	5818	30876
111	5881	30878
112	5941	30864
113	5991	30798
114	6043	30744
115	6102	30722
116	6166	30724
117	6221	30687
118	6277	30647
119	6340	30646
120	6378	30523
121	6449	30554
122	6514	30560
123	6571	30525
124	6626	30483
125	6683	30445
126	6724	30341
127	6778	30293
128	6830	30233
129	6880	30168
130	6942	30155
131	7008	30155
132	7050	30055
133	7104	30006
134	7162	29974
135	7235	30007
136	7301	30005
137	7374	30031
138	7407	29894
139	7464	29857
140	7526	29839
141	7582	29795
142	7636	29746
143	7692	29703
144	7744	29641
145	7810	29637
146	7867	29596
147	7927	29565
148	7984	29525
149	8048	29512
150	8098	29442
151	8151	29386
152	8219	29384
153	8274	29337
154	8327	29280
155	8383	29233
156	8455	29243
157	8518	29220
158	8583	29204
159	8643	29171
160	8706	29149
161	8766	29114
162	8817	29049
163	8872	28998
164	8942	28995
165	8994	28934
166	9051	28889
167	9117	28871
168	9179	28843
169	9230	28776
170	9290	28740
171	9343	28682
172	9399	28633
173	9459	28596
174	9508	28526
175	9573	28503
176	9626	28443
177	9683	28397
178	9745	28366
179	9806	28329
180	9856	28261
181	9925	28249
182	9972	28174
183	10026	28116
184	10088	28083
185	10137	28013
186	10185	27941
187	10241	27890
188	10289	27820
189	10339	27754
190	10390	27690
191	10444	27635
192	10502	27590
193	10558	27539
194	10604	27463
195	10665	27425
196	10729	27394
197	10778	27327
198	10842	27296
199	10894	27236
200	10956	27199
201	11009	27142
202	11068	27097
203	11124	27047
204	11171	26976
205	11227	26925
206	11285	26877
207	11339	26821
208	11390	26759
209	11440	26695
210	11492	26635
211	11553	26594
212	11607	26538
213	11666	26493
214	11725	26450
215	11781	26400
216	11840	26355
217	11898	26308
218	11948	26242
219	12002	26188
220	12065	26150
221	12125	26108
222	12184	26062
223	12242	26014
224	12293	25952
225	12348	25898
226	12396	25830
227	12457	25789
228	12521	25753
229	12569	25684
230	12623	25630
231	12687	25593
232	12743	25541
233	12800	25490
234	12851	25429
235	12904	25370
236	12966	25331
237	13030	25294
238	13084	25238
239	13143	25191
240	13198	25137
241	13254	25084
242	13316	25043
243	13366	24979
244	13414	24912
245	13467	24855
246	13520	24797
247	13574	24740
248	13633	24693
249	13681	24626
250	13738	24575
251	13799	24532
252	13852	24475
253	13909	24423
254	13966	24372
255	14020	24317
256	14073	24259
257	14130	24207
258	14187	24156
259	14243	24104
260	14298	24050
261	14354	23996
262	14411	23945
263	14459	23880
264	14508	23815
265	14556	23750
266	14607	23689
267	14666	23640
268	14719	23583
269	14769	23521
270	14821	23463
271	14886	23424
272	14949	23382
273	15016	23346
274	15074	23296
275	15128	23241
276	15181	23183
277	15229	23118
278	15299	23086
279	15356	23034
280	15418	22990
281	15484	22952
282	15547	22909
283	15605	22859
284	15657	22798
285	15711	22743
286	15765	22687
287	15813	22622
288	15873	22574
289	15943	22540
290	16003	22493
291	16072	22457
292	16127	22401
293	16197	22367
294	16244	22301
295	16307	22257
296	16357	22195
297	16431	22165
298	16499	22127
299	16548	22065
300	16600	22005
301	16657	21952
302	16715	21900
303	16766	21840
304	16814	21776
305	16865	21715
306	16935	21680
307	16992	21626
308	17049	21574
309	17101	21514
310	17161	21465
311	17215	21409
312	17270	21354
313	17323	21295
314	17389	21253
315	17450	21206
316	17508	21154
317	17557	21091
318	17615	21039
319	17667	20980
320	17725	20928
321	17777	20868
322	17832	20813
323	17890	20761
324	17950	20711
325	18004	20655
326	18060	20601
327	18122	20553
328	18177	20498
329	18236	20447
330	18286	20385
331	18347	20337
332	18397	20276
333	18464	20233
334	18516	20175
335	18577	20125
336	18628	20066
337	18684	20011
338	18752	19969
339	18803	19909
340	18860	19856
341	18916	19801
342	18973	19747
343	19028	19692
344	19095	19649
345	19150	19593
346	19200	19532
347	19253	19474
348	19308	19418
349	19362	19362
350	19423	19313
351	19492	19270
352	19538	19206
353	19594	19152
354	19652	19098
355	19711	19047
356	19769	18993
357	19823	18937
358	19876	18879
359	19927	18820
360	19979	18761
361	20042	18713
362	20108	18667
363	20169	18618
364	20224	18562
365	20282	18508
366	20332	18448
367	20380	18386
368	20432	18327
369	20492	18277
370	20542	18216
371	20594	18158
372	20645	18099
373	20695	18039
374	20758	17990
375	20810	17932
376	20870	17881
377	20920	17821
378	20982	17771
379	21035	17713
380	21100	17666
381	21158	17613
382	21215	17559
383	21272	17505
384	21338	17459
385	21401	17409
386	21454	17351
387	21513	17299
388	21571	17246
389	21625	17189
390	21681	17134
391	21740	17081
392	21803	17032
393	21873	16988
394	21928	16932
395	21982	16875
396	22045	16825
397	22096	16766
398	22152	16711
399	22209	16657
400	22268	16604
401	22330	16553
402	22380	16493
403	22437	16439
404	22498	16388
405	22547	16327
406	22601	16271
407	22659	16217
408	22707	16156
409	22760	16098
410	22826	16050
411	22879	15993
412	22928	15933
413	22985	15878
414	23040	15823
415	23091	15764
416	23149	15710
417	23212	15660
418	23265	15602
419	23316	15544
420	23375	15490
421	23431	15436
422	23489	15381
423	23540	15323
424	23605	15273
425	23657	15216
426	23707	15157
427	23767	15104
428	23820	15047
429	23885	14998
430	23938	14940
431	23989	14882
432	24041	14824
433	24097	14769
434	24156	14716
435	24207	14657
436	24273	14608
437	24322	14549
438	24386	14498
439	24438	14440
440	24491	14383
441	24544	14326
442	24588	14264
443	24647	14211
444	24704	14156
445	24761	14101
446	24824	14050
447	24874	13991
448	24930	13936
449	24985	13880
450	25039	13824
451	25095	13768
452	25157	13717
453	25214	13662
454	25280	13612
455	25340	13559
456	25391	13501
457	25445	13445
458	25502	13390
459	25559	13335
460	25614	13279
461	25669	13223
462	25723	13167
463	25774	13109
464	25831	13054
465	25877	12994
466	25932	12938
467	25990	12884
468	26047	12829
469	26097	12770
470	26142	12710
471	26199	12655
472	26250	12597
473	26301	12540
474	26368	12490
475	26423	12434
476	26481	12380
477	26533	12322
478	26580	12263
479	26644	12212
480	26693	12153
481	26750	12098
482	26798	12040
483	26861	11987
484	26911	11929
485	26966	11874
486	27028	11821
487	27092	11769
488	27147	11714
489	27201	11657
490	27261	11604
491	27309	11545
492	27373	11493
493	27424	11436
494	27493	11386
495	27549	11330
496	27608	11276
497	27661	11220
498	27715	11164
499	27764	11105
500	27821	11050
501	27873	10993
502	27928	10938
503	27982	10882
504	28037	10826
505	28100	10773
506	28155	10718
507	28211	10662
508	28258	10603
